job_id,job_title,domain,file_path,required_skills
ML001,Machine Learning Intern,AI/ML,../data/raw/job_descriptions/ai_ml/ml_engineering_01.txt,"Python, Machine Learning, SQL, Scikit-learn"
ML002,Machine Learning Engineer,AI/ML,../data/raw/job_descriptions/ai_ml/ml_engineering_02.txt,"Python, Machine Learning, Scikit-learn, TensorFlow, Git"
ML003,Deep Learning Engineer,AI/ML,../data/raw/job_descriptions/ai_ml/ml_engineering_03.txt,"Python, Deep Learning, TensorFlow, PyTorch, Git"
ML004,Computer Vision Engineer,AI/ML,../data/raw/job_descriptions/ai_ml/ml_engineering_04.txt,"Python, Computer Vision, OpenCV, Deep Learning, PyTorch"
ML005,AI Engineer,AI/ML,../data/raw/job_descriptions/ai_ml/ml_engineering_05.txt,"Python, Machine Learning, Deep Learning, TensorFlow, Git"
DS001,Data Scientist,Data Science,../data/raw/job_descriptions/data_science/data_science_01.txt,"Python, Pandas, NumPy, Scikit-learn, SQL, Statistics"
DS002,Junior Data Scientist,Data Science,../data/raw/job_descriptions/data_science/data_science_02.txt,"Python, Pandas, NumPy, SQL, Statistics, Scikit-learn"
DS003,Data Science Intern,Data Science,../data/raw/job_descriptions/data_science/data_science_03.txt,"Python, Pandas, NumPy, SQL, Statistics, Scikit-learn"
DS004,Applied Data Scientist,Data Science,../data/raw/job_descriptions/data_science/data_science_04.txt,"Python, Pandas, NumPy, Scikit-learn, SQL, Machine Learning"
DS005,Predictive Analytics Scientist,Data Science,../data/raw/job_descriptions/data_science/data_science_05.txt,"Python, SQL, Pandas, Statistics, Machine Learning, Scikit-learn"
DA001,Data Analyst,Data Analytics,../data/raw/job_descriptions/data_analytics/data_analytics_01.txt,"SQL, Excel, Python, Pandas, Data Visualization"
DA002,Business Data Analyst,Data Analytics,../data/raw/job_descriptions/data_analytics/data_analytics_02.txt,"SQL, Excel, Power BI, Data Visualization, Statistics"
DA003,Data Analytics Intern,Data Analytics,../data/raw/job_descriptions/data_analytics/data_analytics_03.txt,"SQL, Excel, Python, Pandas, Data Visualization"
DA004,Business Intelligence Analyst,Data Analytics,../data/raw/job_descriptions/data_analytics/data_analytics_04.txt,"SQL, Power BI, Tableau, Excel, Data Visualization"
DA005,Product Data Analyst,Data Analytics,../data/raw/job_descriptions/data_analytics/data_analytics_05.txt,"SQL, Excel, Python, Pandas, A/B Testing"
RS001,AI Research Intern,Research,../data/raw/job_descriptions/research/research_01.txt,"Python, Machine Learning, Data Analysis, Experimentation"
RS002,Machine Learning Research Assistant,Research,../data/raw/job_descriptions/research/research_02.txt,"Python, Machine Learning, Statistics, Data Analysis"
RS003,Computer Science Research Intern,Research,../data/raw/job_descriptions/research/research_03.txt,"Python, Algorithms, Data Structures, Research Methodology"
RS004,Data Science Researcher,Research,../data/raw/job_descriptions/research/research_04.txt,"Python, Statistics, Machine Learning, Pandas, NumPy"
RS005,AI Research Engineer,Research,../data/raw/job_descriptions/research/research_05.txt,"Python, Machine Learning, Deep Learning, PyTorch"
WD001,Frontend Developer,Web Development,../data/raw/job_descriptions/web_development/web_development_01.txt,"HTML, CSS, JavaScript, React, Git"
WD002,Backend Developer,Web Development,../data/raw/job_descriptions/web_development/web_development_02.txt,"Python, Node.js, REST APIs, SQL, Git"
WD003,Full Stack Developer,Web Development,../data/raw/job_descriptions/web_development/web_development_03.txt,"JavaScript, React, Node.js, Python, SQL, REST APIs"
WD004,Python Web Developer,Web Development,../data/raw/job_descriptions/web_development/web_development_04.txt,"Python, Flask, REST APIs, SQL, JavaScript"
WD005,Web Development Intern,Web Development,../data/raw/job_descriptions/web_development/web_development_05.txt,"HTML, CSS, JavaScript, React, Python, SQL"
